GenesetID	Description	PrediX_p	TWAS_p	KeyConsensusGenes	OtherGenes
KEGG_hsa04612	Antigen processing and presentation (http://www.ncbi.nlm.nih.gov/biosystems?term=83074)	1.0999989000011e-05	7.9000079000079e-05	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA
KEGG_hsa04145	Phagosome (http://www.ncbi.nlm.nih.gov/biosystems?term=153910)	7.3999926000074e-05	0.000702999297000703	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,PLA2R1	ATP6V0D2,HLA-B,HLA-DRA,TFRC
REACTOME_R_HSA_162592	Integration of provirus (http://www.ncbi.nlm.nih.gov/biosystems?term=1269065)	0.00166907164401473	0.55239483381602	NA	NA
REACTOME_R_HSA_5223345	Miscellaneous transport and binding events (http://www.ncbi.nlm.nih.gov/biosystems?term=1269955)	0.00254399472505558	0.162036845998621	NA	ADD3,PQLC2
KEGG_hsa05206	MicroRNAs in cancer (http://www.ncbi.nlm.nih.gov/biosystems?term=852705)	0.315509684490316	0.00971799028200972	MET,PRKCB	DNMT3B,NOTCH4,PIK3R2,STMN1
KEGG_hsa05164	Influenza A (http://www.ncbi.nlm.nih.gov/biosystems?term=217173)	0.000982999017000983	0.0181989818010182	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,PRKCB	DDX39B,HLA-DRA,PIK3R2
KEGG_hsa05140	Leishmaniasis (http://www.ncbi.nlm.nih.gov/biosystems?term=144181)	0.00123299876700123	0.002002	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,PRKCB	HLA-DRA
KEGG_hsa05322	Systemic lupus erythematosus (http://www.ncbi.nlm.nih.gov/biosystems?term=83122)	0.00737399262600737	0.00213	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	C2,HLA-DRA
REACTOME_R_HSA_6803157	Antimicrobial peptides (http://www.ncbi.nlm.nih.gov/biosystems?term=1457777)	0.184585184585185	0.00248318127223287	NA	BPIFB1,LCN2
KEGG_hsa05166	HTLV-I infection (http://www.ncbi.nlm.nih.gov/biosystems?term=373901)	0.00654099345900654	0.0571099428900571	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA,PIK3R2,SMAD4
Pathway Interaction Database_il12_stat4pathway	IL12 signaling mediated by STAT4 (http://www.ncbi.nlm.nih.gov/biosystems?term=137936)	0.0144008023132565	0.00936900849943891	HLA-DRB1	HLA-DRA,PIAS2
REACTOME_R_HSA_983169	Class I MHC mediated antigen processing & presentation (http://www.ncbi.nlm.nih.gov/biosystems?term=1269192)	0.607959392040608	0.00634699365300635	NA	GAN,HLA-B,MEX3C,UBE2Z
BIOCYC_HUMAN_TRIGLSYN_PWY	triacylglycerol biosynthesis (http://www.ncbi.nlm.nih.gov/biosystems?term=142242)	0.00910163577832632	0.266171492464874	NA	NA
Pathway Interaction Database_ecadherin_stabilization_pathway	Stabilization and expansion of the E-cadherin adherens junction (http://www.ncbi.nlm.nih.gov/biosystems?term=137918)	0.0240555532777254	0.00104003744134789	EXOC3,MET	ZYX
KEGG_hsa05169	Epstein-Barr virus infection (http://www.ncbi.nlm.nih.gov/biosystems?term=585562)	0.0167709832290168	0.0055969944030056	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA,PIK3R2
KEGG_hsa05168	Herpes simplex infection (http://www.ncbi.nlm.nih.gov/biosystems?term=377873)	0.00217499782500218	0.00397199602800397	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA
REACTOME_R_HSA_388841	Costimulation by the CD28 family (http://www.ncbi.nlm.nih.gov/biosystems?term=1269177)	1.999998000002e-05	0.0022960022960023	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DQB2,HLA-DRA,PIK3R2
KEGG_hsa04514	Cell adhesion molecules (CAMs) (http://www.ncbi.nlm.nih.gov/biosystems?term=83069)	0.00305099694900305	0.00312799687200313	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA
REACTOME_R_HSA_1445148	Translocation of GLUT4 to the plasma membrane (http://www.ncbi.nlm.nih.gov/biosystems?term=1269896)	0.460568	0.007808	EXOC3	NA
REACTOME_R_HSA_389948	PD-1 signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269182)	1.30524840383181e-05	0.000147049577004286	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DQB2,HLA-DRA
REACTOME_R_HSA_877300	Interferon gamma signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269314)	3.2999967000033e-05	0.00103699896300104	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,OASL	HLA-B,HLA-DQB2,HLA-DRA
REACTOME_R_HSA_381340	Transcriptional regulation of white adipocyte differentiation (http://www.ncbi.nlm.nih.gov/biosystems?term=1270345)	0.0079009920990079	0.464727535272465	NA	MED19,NCOA3
KEGG_hsa_M00089	Triacylglycerol biosynthesis (http://www.ncbi.nlm.nih.gov/biosystems?term=413384)	0.00657924392992521	0.0891590595229132	NA	NA
REACTOME_R_HSA_202403	TCR signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269172)	0.00298499701500299	0.00404599595400405	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DQB2,HLA-DRA,PIK3R2
REACTOME_R_HSA_171052	LDL-mediated lipid transport (http://www.ncbi.nlm.nih.gov/biosystems?term=1270008)	0.0020278041606053	0.485016826077766	NA	LDLRAP1,SOAT1
KEGG_hsa04070	Phosphatidylinositol signaling system (http://www.ncbi.nlm.nih.gov/biosystems?term=83052)	0.0062019937980062	0.785982214017786	PRKCB	PIK3R2
