ENSGID	GENE	minP	meanP
ENSG00000004399	PLXND1	0.02529	0.6647
ENSG00000004455	AK2	0.000835	0.7859
ENSG00000004468	CD38	6.446e-05	0.7389
ENSG00000004478	FKBP4	0.01242	0.2357
ENSG00000004487	KDM1A	0.006417	0.9449
ENSG00000004534	RBM6	0.07747	0.9188
ENSG00000004660	CAMKK1	0.009485	0.9884
ENSG00000004700	RECQL	0.0006057	0.2296
ENSG00000004766	CCDC132	0.0005851	0.9777
ENSG00000004776	HSPB6	0.1679	0.7438
ENSG00000004777	ARHGAP33	0.000263	0.9293
ENSG00000004779	NDUFAB1	0.0004178	0.002537
ENSG00000004799	PDK4	0.02408	0.833
ENSG00000004809	SLC22A16	0.0101	0.9903
ENSG00000004838	ZMYND10	0.1569	0.7517
ENSG00000004846	ABCB5	0.7981	0.7981
ENSG00000004864	SLC25A13	0.06184	0.4519
ENSG00000004866	ST7	0.0009155	0.4486
ENSG00000004897	CDC27	0.005677	0.4338
ENSG00000004939	SLC4A1	0.02454	0.6276
ENSG00000004975	DVL2	0.001058	0.6353
ENSG00000005001	PRSS22	0.04317	0.8159
ENSG00000005007	UPF1	0.01624	0.3592
ENSG00000005020	SKAP2	0.01453	0.2885
ENSG00000005059	CCDC109B	0.0003783	0.4904
ENSG00000005073	HOXA11	0.1819	0.8219
ENSG00000005075	POLR2J	0.01645	0.6891
ENSG00000005100	DHX33	0.003147	0.4878
ENSG00000005102	MEOX1	0.005675	0.7636
ENSG00000005108	THSD7A	0.0003397	0.07062
ENSG00000005156	LIG3	0.0007022	0.2249
ENSG00000005175	RPAP3	0.02621	0.5121
ENSG00000005187	ACSM3	0.002612	0.4052
ENSG00000005189	AC004381.6	0.01846	0.9685
ENSG00000005194	CIAPIN1	0.002975	0.5828
ENSG00000005238	FAM214B	0.01763	0.9939
ENSG00000005243	COPZ2	0.01371	0.04215
ENSG00000005249	PRKAR2B	0.00474	0.9887
ENSG00000005379	BZRAP1	0.01017	0.5444
ENSG00000005381	MPO	0.02753	0.9116
ENSG00000005421	PON1	0.000645	0.2316
ENSG00000005436	GCFC2	0.001282	0.7829
ENSG00000005448	WDR54	0.007114	0.3867
ENSG00000005469	CROT	0.007998	0.3678
ENSG00000005471	ABCB4	0.008446	0.262
ENSG00000005483	KMT2E	0.009185	0.2678
ENSG00000005486	RHBDD2	0.01042	0.07747
ENSG00000005513	SOX8	0.002712	0.04043
ENSG00000005700	IBTK	0.001463	0.8263
ENSG00000005801	ZNF195	0.003341	0.6345
ENSG00000005810	MYCBP2	0.05883	0.1082
ENSG00000005812	FBXL3	0.008754	0.3129
ENSG00000005844	ITGAL	0.1119	0.6955
ENSG00000005882	PDK2	0.001008	0.02212
ENSG00000005884	ITGA3	0.0004815	0.05277
ENSG00000005955	GGNBP2	0.0001771	0.5351
ENSG00000005961	ITGA2B	0.00299	0.7465
ENSG00000005981	ASB4	0.000645	0.8991
ENSG00000006007	GDE1	0.001371	0.3196
ENSG00000006015	C19orf60	0.0271	0.3714
ENSG00000006016	CRLF1	0.0271	0.618
ENSG00000006025	OSBPL7	0.03503	0.8825
ENSG00000006042	TMEM98	0.0008375	0.1439
ENSG00000006047	YBX2	0.001058	0.07155
ENSG00000006071	ABCC8	0.004571	0.1172
ENSG00000006074	CCL18	0.02291	0.9025
ENSG00000006075	CCL3	0.04448	0.2011
ENSG00000006114	SYNRG	0.002107	0.316
ENSG00000006116	CACNG3	7.884e-06	0.4971
ENSG00000006118	TMEM132A	0.001764	0.9255
ENSG00000006125	AP2B1	0.006949	0.8983
ENSG00000006128	TAC1	0.0012	0.8064
ENSG00000006194	ZNF263	0.008413	0.1176
ENSG00000006210	CX3CL1	0.006779	0.9297
ENSG00000006282	SPATA20	0.008214	0.1272
ENSG00000006283	CACNA1G	0.01528	0.3416
ENSG00000006327	TNFRSF12A	0.03037	0.252
ENSG00000006377	DLX6	0.009812	0.7924
ENSG00000006432	MAP3K9	0.0006513	0.2605
ENSG00000006451	RALA	0.02649	0.4689
ENSG00000006453	BAIAP2L1	0.00411	0.8191
ENSG00000006459	JHDM1D	0.00256	0.004412
ENSG00000006468	ETV1	0.008442	0.708
ENSG00000006530	AGK	0.0002242	0.0002242
ENSG00000006534	ALDH3B1	0.008205	0.5635
ENSG00000006555	TTC22	0.001743	0.8684
ENSG00000006576	PHTF2	0.04566	0.4262
ENSG00000006606	CCL26	0.01042	0.6166
ENSG00000006607	FARP2	0.006837	0.2534
ENSG00000006611	USH1C	0.06403	0.7978
ENSG00000006625	GGCT	0.003299	0.8707
ENSG00000006634	DBF4	0.06142	0.6914
ENSG00000006638	TBXA2R	0.003494	0.5243
ENSG00000006652	IFRD1	0.001769	0.1587
ENSG00000006695	COX10	0.003963	0.489
ENSG00000006704	GTF2IRD1	0.00937	0.7895
ENSG00000006712	PAF1	0.03883	0.5403
ENSG00000006715	VPS41	0.0003344	0.4815
ENSG00000006740	ARHGAP44	0.00264	0.02482
ENSG00000006744	ELAC2	0.001422	0.6446
ENSG00000006747	SCIN	0.001119	0.5983
ENSG00000006788	MYH13	0.01028	0.05298
ENSG00000006831	ADIPOR2	0.007719	0.4065
ENSG00000006837	CDKL3	0.004708	0.8118
ENSG00000007001	UPP2	0.01141	0.2059
ENSG00000007038	PRSS21	0.06786	0.1176
ENSG00000007047	MARK4	0.005109	0.6524
ENSG00000007062	PROM1	6.446e-05	0.05972
ENSG00000007080	CCDC124	0.0008379	0.2066
ENSG00000007129	CEACAM21	0.002572	0.1147
ENSG00000007168	PAFAH1B1	0.000237	0.879
ENSG00000007171	NOS2	0.001706	0.5465
ENSG00000007174	DNAH9	0.004256	0.566
ENSG00000007202	KIAA0100	0.03971	0.03971
ENSG00000007216	SLC13A2	0.003145	0.03971
ENSG00000007237	GAS7	0.002383	0.3874
ENSG00000007255	TRAPPC6A	0.008904	0.6648
ENSG00000007264	MATK	0.02436	0.279
ENSG00000007306	CEACAM7	0.002572	0.4968
ENSG00000007312	CD79B	0.007314	0.03455
ENSG00000007314	SCN4A	0.05251	0.9761
ENSG00000007341	ST7L	0.006833	0.8732
ENSG00000007372	PAX6	0.04439	0.3079
ENSG00000007376	RPUSD1	0.0171	0.2772
ENSG00000007384	RHBDF1	0.002712	0.02154
ENSG00000007392	LUC7L	0.05797	0.7382
ENSG00000007402	CACNA2D2	0.08877	0.9084
ENSG00000007516	BAIAP3	0.00152	0.1814
ENSG00000007520	TSR3	0.00152	0.2919
ENSG00000007541	PIGQ	0.00152	0.8586
ENSG00000007545	CRAMP1L	0.002712	0.6894
ENSG00000007866	TEAD3	0.001879	0.9867
ENSG00000007908	SELE	0.01221	0.05441
ENSG00000007923	DNAJC11	0.03805	0.9411
ENSG00000007933	FMO3	0.003205	0.4441
ENSG00000007944	MYLIP	0.01045	0.5309
ENSG00000007968	E2F2	0.04624	0.4583
ENSG00000008018	PSMB1	0.004677	0.3128
ENSG00000008083	JARID2	0.001482	0.4344
ENSG00000008118	CAMK1G	0.01361	0.9226
ENSG00000008128	CDK11A	0.008415	0.723
ENSG00000008130	NADK	0.0006194	0.4118
ENSG00000008196	TFAP2B	0.01523	0.07101
ENSG00000008226	DLEC1	0.003243	0.239
ENSG00000008256	CYTH3	0.04387	0.1201
ENSG00000008277	ADAM22	0.008889	0.262
ENSG00000008282	SYPL1	0.004491	0.4618
ENSG00000008283	CYB561	0.01235	0.1211
ENSG00000008294	SPAG9	0.0115	0.9902
ENSG00000008300	CELSR3	0.2973	0.3444
ENSG00000008311	AASS	0.005063	0.3865
ENSG00000008323	PLEKHG6	0.01041	0.372
ENSG00000008324	SS18L2	0.01043	0.9361
ENSG00000008382	MPND	0.00624	0.00624
ENSG00000008394	MGST1	0.004839	0.6504
ENSG00000008405	CRY1	0.06411	0.454
ENSG00000008438	PGLYRP1	0.005109	0.4452
ENSG00000008441	NFIX	0.06117	0.8875
ENSG00000008513	ST3GAL1	0.00302	0.3854
ENSG00000008516	MMP25	0.01735	0.9069
ENSG00000008517	IL32	0.01317	0.3411
ENSG00000008710	PKD1	0.00612	0.6644
ENSG00000008735	MAPK8IP2	0.004483	0.361
ENSG00000008838	MED24	0.007561	0.6372
ENSG00000008853	RHOBTB2	0.001038	0.7962
ENSG00000008869	HEATR5B	0.1598	0.6873
ENSG00000008952	SEC62	0.05541	0.8528
ENSG00000008988	RPS20	0.001348	0.5002
ENSG00000009307	CSDE1	0.06254	0.4638
ENSG00000009335	UBE3C	0.0006925	0.3657
ENSG00000009413	REV3L	0.005565	0.5154
ENSG00000009709	PAX7	0.3875	0.8355
ENSG00000009724	MASP2	0.001551	0.245
ENSG00000009765	IYD	0.006762	0.3657
ENSG00000009780	FAM76A	0.03337	0.263
ENSG00000009790	TRAF3IP3	0.005729	0.4862
ENSG00000009830	POMT2	0.004037	0.6503
ENSG00000009844	VTA1	0.01601	0.6968
ENSG00000009950	MLXIPL	0.00937	0.1499
ENSG00000009954	BAZ1B	0.00937	0.9726
ENSG00000010017	RANBP9	0.009121	0.6796
ENSG00000010030	ETV7	0.0009722	0.8331
ENSG00000010072	SPRTN	0.005178	0.1927
ENSG00000010165	METTL13	0.02143	0.2571
ENSG00000010219	DYRK4	0.006243	0.4583
ENSG00000010244	ZNF207	0.01936	0.9621
ENSG00000010256	UQCRC1	0.005659	0.9312
ENSG00000010270	STARD3NL	0.0002577	0.9422
ENSG00000010278	CD9	0.02206	0.9103
ENSG00000010282	HHATL	0.005767	0.03293
ENSG00000010292	NCAPD2	0.01326	0.8445
ENSG00000010295	IFFO1	0.02739	0.8141
ENSG00000010310	GIPR	0.008904	0.6224
ENSG00000010318	PHF7	0.08867	0.734
ENSG00000010319	SEMA3G	0.08867	0.2993
ENSG00000010322	NISCH	0.02942	0.6289
ENSG00000010327	STAB1	0.1004	0.7179
ENSG00000010361	FUZ	0.0003387	0.2968
ENSG00000010379	SLC6A13	0.006207	0.481
ENSG00000010438	PRSS3	0.002487	0.0695
ENSG00000010539	ZNF200	0.007403	0.4055
ENSG00000010610	CD4	0.01037	0.6417
ENSG00000010626	LRRC23	0.001194	0.5877
ENSG00000010704	HFE	0.004321	0.7278
ENSG00000010803	SCMH1	0.006826	0.549
ENSG00000010810	FYN	0.01816	0.05726
ENSG00000010818	HIVEP2	0.09623	0.3856
ENSG00000010932	FMO1	0.01673	0.7283
ENSG00000011007	TCEB3	0.01137	0.9603
ENSG00000011009	LYPLA2	0.003683	0.2957
ENSG00000011021	CLCN6	0.004864	0.3556
ENSG00000011028	MRC2	0.002851	0.8799
ENSG00000011083	SLC6A7	0.001089	0.1575
ENSG00000011105	TSPAN9	0.005184	0.4351
ENSG00000011114	BTBD7	0.008348	0.0336
ENSG00000011132	APBA3	0.0005422	0.5409
ENSG00000011143	MKS1	0.04396	0.5004
ENSG00000011243	AKAP8L	0.3071	0.8281
ENSG00000011258	MBTD1	0.0476	0.341
ENSG00000011260	UTP18	0.0115	0.6551
ENSG00000011275	RNF216	0.003413	0.43
ENSG00000011295	TTC19	0.01425	0.3687
ENSG00000011304	PTBP1	0.006275	0.006275
ENSG00000011332	DPF1	0.01057	0.583
ENSG00000011347	SYT7	3.2e-05	0.9058
ENSG00000011376	LARS2	0.002675	0.439
ENSG00000011405	PIK3C2A	0.004571	0.3464
ENSG00000011422	PLAUR	0.0126	0.7215
ENSG00000011426	ANLN	0.004523	0.9253
ENSG00000011451	WIZ	0.02083	0.959
ENSG00000011454	RABGAP1	0.001178	0.7904
ENSG00000011465	DCN	0.4065	0.4065
ENSG00000011478	QPCTL	0.0009254	0.1241
ENSG00000011485	PPP5C	0.002439	0.8553
ENSG00000011523	CEP68	0.001465	0.1046
ENSG00000011566	MAP4K3	0.007947	0.01194
ENSG00000011590	ZBTB32	0.0007211	0.2824
ENSG00000011638	TMEM159	0.0173	0.5028
ENSG00000012048	BRCA1	0.007546	0.1531
ENSG00000012061	ERCC1	0.0009254	0.09239
ENSG00000012124	CD22	0.006556	0.8605
ENSG00000012223	LTF	0.01309	0.5028
ENSG00000012232	EXTL3	0.007178	0.6792
ENSG00000012504	NR1H4	0.09561	0.2713
ENSG00000012660	ELOVL5	0.004713	0.01097
ENSG00000012779	ALOX5	0.005673	0.6813
ENSG00000012822	CALCOCO1	0.3206	0.8061
ENSG00000012963	UBR7	0.006095	0.8711
ENSG00000012983	MAP4K5	0.001845	0.2731
ENSG00000013016	EHD3	0.0009136	0.00825
ENSG00000013275	PSMC4	0.03377	0.9576
ENSG00000013288	MAN2B2	0.0007025	0.2456
ENSG00000013293	SLC7A14	0.1681	0.8391
ENSG00000013297	CLDN11	0.0173	0.9845
ENSG00000013306	SLC25A39	0.002013	0.09475
ENSG00000013364	MVP	0.02581	0.2238
ENSG00000013374	NUB1	0.0005658	0.343
ENSG00000013375	PGM3	0.00863	0.3043
ENSG00000013392	RWDD2A	0.005055	0.3043
ENSG00000013503	POLR3B	0.003642	0.8541
ENSG00000013523	ANGEL1	0.001073	0.8738
ENSG00000013561	RNF14	0.001994	0.3431
ENSG00000013573	DDX11	0.0002845	0.3288
ENSG00000013583	HEBP1	0.003881	0.3039
ENSG00000013588	GPRC5A	0.02167	0.0812
ENSG00000013725	CD6	0.0003011	0.977
ENSG00000013810	TACC3	0.001791	0.03257
ENSG00000014123	UFL1	0.01327	0.6716
ENSG00000014138	POLA2	0.004634	0.3047
ENSG00000014164	ZC3H3	0.005899	0.6002
ENSG00000014216	CAPN1	0.0215	0.5178
ENSG00000014257	ACPP	0.002742	0.6148
ENSG00000014641	MDH1	0.0105	0.5299
ENSG00000014824	SLC30A9	0.001355	0.9972
ENSG00000014914	MTMR11	0.001942	0.6662
ENSG00000014919	COX15	0.02605	0.9938
ENSG00000015133	CCDC88C	0.001221	0.7236
ENSG00000015153	YAF2	0.002712	0.4283
ENSG00000015171	ZMYND11	0.1028	0.1028
ENSG00000015413	DPEP1	0.01263	0.1283
ENSG00000015475	BID	0.01581	0.468
ENSG00000015479	MATR3	0.1226	0.8163
ENSG00000015520	NPC1L1	0.006753	0.2477
ENSG00000015532	XYLT2	0.05898	0.05898
ENSG00000015592	STMN4	0.00341	0.3476
ENSG00000015676	NUDCD3	0.000998	0.883
ENSG00000016391	CHDH	0.006208	0.8579
ENSG00000016402	IL20RA	0.02176	0.6208
ENSG00000016602	CLCA4	0.0137	0.4912
ENSG00000016864	GLT8D1	0.02687	0.2097
ENSG00000017260	ATP2C1	0.02891	0.02982
ENSG00000017373	SRCIN1	0.0143	0.01639
ENSG00000017427	IGF1	0.01223	0.5797
ENSG00000017797	RALBP1	0.004935	0.8558
ENSG00000018189	RUFY3	0.04006	0.3786
ENSG00000018236	CNTN1	0.004611	0.4558
ENSG00000018280	SLC11A1	0.05155	0.05914
ENSG00000018408	WWTR1	0.002607	0.3984
ENSG00000018510	AGPS	0.005701	0.06734
ENSG00000018625	ATP1A2	0.001377	0.3085
ENSG00000018699	TTC27	0.002927	0.2034
ENSG00000018869	ZNF582	0.001559	0.3386
ENSG00000019102	VSIG2	0.04468	0.3892
ENSG00000019144	PHLDB1	0.01528	0.3053
ENSG00000019169	MARCO	0.0168	0.6055
ENSG00000019186	CYP24A1	0.007126	0.06326
ENSG00000019485	PRDM11	0.006883	0.02599
ENSG00000019505	SYT13	0.0005063	0.2114
ENSG00000019549	SNAI2	0.000203	0.3954
ENSG00000019582	CD74	0.1882	0.623
ENSG00000019991	HGF	0.01349	0.6014
ENSG00000019995	ZRANB1	0.04648	0.4918
ENSG00000020129	NCDN	0.05804	0.8009
ENSG00000020181	GPR124	0.004809	0.2676
ENSG00000020219	CCT8L1P	0.04158	0.5389
ENSG00000020256	ZFP64	0.001973	0.8633
ENSG00000020426	MNAT1	0.0003419	0.8418
ENSG00000020577	SAMD4A	0.03695	0.4972
ENSG00000020633	RUNX3	0.1216	0.7013
ENSG00000020922	MRE11A	0.0005191	0.2441
ENSG00000021300	PLEKHB1	0.01912	0.02464
ENSG00000021355	SERPINB1	0.001981	0.5302
ENSG00000021461	CYP3A43	0.02792	0.3921
ENSG00000021488	SLC7A9	0.005188	0.2947
ENSG00000021574	SPAST	0.1534	0.4744
ENSG00000021645	NRXN3	0.0206	0.7717
ENSG00000021762	OSBPL5	0.001203	0.4297
ENSG00000021776	AQR	0.06845	0.4602
ENSG00000021826	CPS1	0.001958	0.0619
ENSG00000021852	C8B	0.1307	0.603
ENSG00000022277	RTFDC1	0.001216	0.5779
ENSG00000022556	NLRP2	0.001958	0.4297
ENSG00000022567	SLC45A4	0.001106	0.8863
ENSG00000022840	RNF10	0.001459	0.4145
ENSG00000022976	ZNF839	0.008648	0.709
ENSG00000023041	ZDHHC6	0.001565	0.1111
ENSG00000023171	GRAMD1B	0.005771	0.7732
ENSG00000023191	RNH1	0.005631	0.7531
ENSG00000023228	NDUFS1	0.002568	0.3841
ENSG00000023287	RB1CC1	0.2992	0.2992
ENSG00000023318	ERP44	0.1411	0.8033
ENSG00000023330	ALAS1	0.1917	0.6395
ENSG00000023445	BIRC3	0.009556	0.4634
ENSG00000023516	AKAP11	0.0004709	0.2355
ENSG00000023572	GLRX2	0.001226	0.895
ENSG00000023608	SNAPC1	0.0003419	0.4106
ENSG00000023697	DERA	0.01492	0.869
ENSG00000023734	STRAP	0.072	0.3287
ENSG00000023839	ABCC2	0.03656	0.7939
ENSG00000023892	DEF6	0.0009722	0.8809
ENSG00000023902	PLEKHO1	0.002149	0.6898
ENSG00000023909	GCLM	0.002633	0.938
ENSG00000024048	UBR2	0.009008	0.4151
ENSG00000024422	EHD2	0.001272	0.2086
ENSG00000024526	DEPDC1	0.005102	0.2851
ENSG00000024862	CCDC28A	0.003126	0.4595
ENSG00000025039	RRAGD	0.001278	0.7203
ENSG00000025156	HSF2	0.001397	0.3009
ENSG00000025293	PHF20	0.07142	0.7653
ENSG00000025423	HSD17B6	0.004596	0.4147
ENSG00000025434	NR1H3	0.01905	0.5402
ENSG00000025708	TYMP	0.001683	0.892
ENSG00000025770	NCAPH2	0.03217	0.05366
ENSG00000025772	TOMM34	0.01877	0.06356
ENSG00000025796	SEC63	0.01771	0.6547
ENSG00000025800	KPNA6	0.04833	0.1655
ENSG00000026025	VIM	0.006704	0.6531
ENSG00000026103	FAS	0.003739	0.09001
ENSG00000026297	RNASET2	0.0003227	0.6942
ENSG00000026508	CD44	4.503e-09	0.7627
ENSG00000026559	KCNG1	0.02931	0.3773
ENSG00000026652	AGPAT4	0.01237	0.2511
ENSG00000026751	SLAMF7	0.05636	0.6895
ENSG00000026950	BTN3A1	0.001562	0.827
ENSG00000027001	MIPEP	0.004491	0.4517
ENSG00000027075	PRKCH	0.0003419	0.5329
ENSG00000027644	INSRR	0.0201	0.4031
ENSG00000027697	IFNGR1	0.001355	0.001355
ENSG00000027847	B4GALT7	0.01043	0.3531
ENSG00000027869	SH2D2A	0.06671	0.2947
ENSG00000028116	VRK2	0.0009813	0.8152
ENSG00000028137	TNFRSF1B	0.01237	0.135
ENSG00000028203	VEZT	0.0005699	0.4612
ENSG00000028277	POU2F2	0.03155	0.4076
ENSG00000028310	BRD9	2.987e-11	0.3799
ENSG00000028528	SNX1	0.001168	0.2348
ENSG00000028839	TBPL1	0.003514	0.01819
ENSG00000029153	ARNTL2	0.01644	0.2633
ENSG00000029363	BCLAF1	0.07641	0.2638
ENSG00000029364	SLC39A9	0.0006513	0.8064
ENSG00000029534	ANK1	0.001275	0.1195
ENSG00000029559	IBSP	0.008122	0.4811
ENSG00000029639	TFB1M	0.007407	0.1106
ENSG00000029725	RABEP1	0.01746	0.5591
ENSG00000030066	NUP160	0.06599	0.9839
ENSG00000030110	BAK1	3.499e-07	0.1915
ENSG00000030304	MUSK	0.03404	0.08287
ENSG00000030419	IKZF2	0.00865	0.4603
ENSG00000030582	GRN	0.002013	0.08024
ENSG00000031003	FAM13B	0.01903	0.5073
ENSG00000031081	ARHGAP31	0.008176	0.6409
ENSG00000031691	CENPQ	0.003953	0.08957
ENSG00000031698	SARS	0.009235	0.8322
ENSG00000031823	RANBP3	0.01602	0.4878
ENSG00000032219	ARID4A	0.001909	0.9773
ENSG00000032389	TSSC1	0.001136	0.9663
ENSG00000032444	PNPLA6	0.004905	0.4613
ENSG00000032742	IFT88	0.001551	0.01013
ENSG00000033011	ALG1	0.006247	0.9644
ENSG00000033030	ZCCHC8	0.03871	0.656
ENSG00000033050	ABCF2	0.006241	0.9474
ENSG00000033100	CHPF2	0.02808	0.03969
ENSG00000033122	LRRC7	0.009758	0.2985
ENSG00000033170	FUT8	0.008244	0.7146
ENSG00000033178	UBA6	0.009639	0.8726
ENSG00000033327	GAB2	0.00315	0.6906
ENSG00000033627	ATP6V0A1	0.01513	0.9669
ENSG00000033800	PIAS1	0.002059	0.5707
ENSG00000033867	SLC4A7	0.001483	0.225
ENSG00000034053	APBA2	0.01181	0.07656
ENSG00000034152	MAP2K3	0.01438	0.3515
ENSG00000034239	EFCAB1	0.000203	0.2984
ENSG00000034510	TMSB10	0.005686	0.01672
ENSG00000034533	ASTE1	0.003684	0.3959
ENSG00000034677	RNF19A	0.007521	0.9926
ENSG00000034693	PEX3	0.01289	0.2115
ENSG00000034713	GABARAPL2	0.001023	0.09388
ENSG00000034971	MYOC	0.01188	0.3716
ENSG00000035115	SH3YL1	0.0001912	0.01026
ENSG00000035141	FAM136A	0.004705	0.6011
ENSG00000035403	VCL	0.04938	0.8065
ENSG00000035499	DEPDC1B	0.003205	0.06804
ENSG00000035664	DAPK2	0.001928	0.09855
ENSG00000035681	NSMAF	0.01197	0.1734
ENSG00000035687	ADSS	0.006924	0.4344
ENSG00000035720	STAP1	0.02139	0.596
ENSG00000035862	TIMP2	0.04528	0.8189
ENSG00000035928	RFC1	0.07696	0.9168
ENSG00000036054	TBC1D23	0.003782	0.1168
ENSG00000036257	CUL3	0.01773	0.02408
ENSG00000036448	MYOM2	0.002474	0.4085
ENSG00000036530	CYP46A1	0.001922	0.5145
ENSG00000036549	ZZZ3	0.1732	0.738
ENSG00000036565	SLC18A1	0.03083	0.7346
ENSG00000036672	USP2	0.001798	0.8578
ENSG00000036828	CASR	0.003837	0.06157
ENSG00000037042	TUBG2	0.00274	0.7534
ENSG00000037241	RPL26L1	0.02323	0.09691
ENSG00000037280	FLT4	0.01065	0.3003
ENSG00000037474	NSUN2	0.001666	0.3551
ENSG00000037637	FBXO42	0.01639	0.535
ENSG00000037749	MFAP3	0.005036	0.6466
ENSG00000037757	MRI1	0.00136	0.6969
ENSG00000037897	METTL1	0.02232	0.0819
ENSG00000037965	HOXC8	0.09078	0.2203
ENSG00000038002	AGA	0.0001599	0.8921
ENSG00000038210	PI4K2B	0.001264	0.5032
ENSG00000038219	BOD1L1	0.001671	0.8175
ENSG00000038274	MAT2B	0.0578	0.9501
ENSG00000038295	TLL1	0.04665	0.04665
ENSG00000038358	EDC4	0.3853	0.8969
ENSG00000038382	TRIO	0.004736	0.4945
ENSG00000038427	VCAN	0.0255	0.6397
ENSG00000038532	CLEC16A	0.00198	0.06195
ENSG00000038945	MSR1	0.001098	0.1272
ENSG00000039068	CDH1	0.01634	0.8976
ENSG00000039123	SKIV2L2	0.001757	0.2113
ENSG00000039139	DNAH5	0.001062	0.4013
ENSG00000039319	ZFYVE16	0.01936	0.2467
ENSG00000039523	FAM65A	0.3699	0.3699
ENSG00000039537	C6	0.008141	0.134
ENSG00000039560	RAI14	0.0008253	0.3273
ENSG00000039600	SOX30	0.05213	0.3486
ENSG00000039650	PNKP	0.01007	0.03687
ENSG00000040199	PHLPP2	0.0008346	0.9561
ENSG00000040275	SPDL1	0.001581	0.8535
ENSG00000040341	STAU2	0.02943	0.7513
ENSG00000040487	PQLC2	0.003536	0.3412
ENSG00000040531	CTNS	0.003676	0.6357
ENSG00000040608	RTN4R	0.004808	0.06602
ENSG00000040633	PHF23	0.04042	0.2597
ENSG00000040731	CDH10	0.02955	0.7146
ENSG00000040933	INPP4A	0.0002668	0.2706
ENSG00000041353	RAB27B	0.0381	0.9746
ENSG00000041357	PSMA4	0.005141	0.377
ENSG00000041515	MYO16	0.006394	0.3731
ENSG00000041802	LSG1	0.008178	0.4838
ENSG00000041880	PARP3	0.0577	0.9658
ENSG00000041982	TNC	0.02949	0.3526
ENSG00000041988	THAP3	0.001114	0.177
ENSG00000042062	FAM65C	0.01058	0.6413
ENSG00000042088	TDP1	0.02216	0.1218
ENSG00000042286	AIFM2	0.003874	0.7175
ENSG00000042304	C2orf83	0.01918	0.1347
ENSG00000042317	SPATA7	0.01031	0.6468
ENSG00000042429	MED17	0.002159	0.1762
ENSG00000042445	RETSAT	0.0006354	0.6418
ENSG00000042493	CAPG	0.0006354	0.9249
ENSG00000042753	AP2S1	0.0002848	0.6122
ENSG00000042813	ZPBP	0.01846	0.4498
ENSG00000042980	ADAM28	0.007457	0.8574
ENSG00000043039	BARX2	0.004669	0.2242
ENSG00000043093	DCUN1D1	0.1869	0.3384
ENSG00000043143	PHF15	0.0002573	0.7129
ENSG00000043462	LCP2	0.001689	0.5667
ENSG00000043514	TRIT1	0.001231	0.9398
ENSG00000043591	ADRB1	0.002272	0.8009
ENSG00000044090	CUL7	0.01131	0.5585
ENSG00000044115	CTNNA1	0.005607	0.4032
ENSG00000044459	CNTLN	0.003766	0.5137
ENSG00000044524	EPHA3	0.006589	0.649
ENSG00000044574	HSPA5	0.09209	0.09209
ENSG00000046604	DSG2	0.002789	0.6693
ENSG00000046889	PREX2	0.004973	0.004973
ENSG00000047056	WDR37	0.004719	0.9772
ENSG00000047188	YTHDC2	0.005432	0.7777
ENSG00000047249	ATP6V1H	0.0001926	0.7351
ENSG00000047315	POLR2B	0.009858	0.7372
